FILTER ID: ,490FS10-25,,,550FS10-25,,,680FS10-25,,,720FS10-25,,,800FS20-25,,,900FS20-25,
,,,,,,,,,,,,,,,,,
,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance
,476.8,0.0498,,543.6,3.0592,,666.8,0.0552,,706.8,0.0741,,773.4001,0.1306,,877,0.079
,476.9,0.0516,,543.8,3.5446,,666.9,0.0574,,706.9,0.0774,,773.6001,0.138,,877.25,0.0839
,477,0.0535,,544,4.1178,,667,0.0596,,707,0.081,,773.8,0.1458,,877.5,0.0892
,477.1,0.0555,,544.2,4.7965,,667.1,0.0619,,707.1,0.0848,,774.0001,0.1541,,877.75,0.0951
,477.2,0.0576,,544.4,5.6011,,667.2,0.0643,,707.2,0.0888,,774.2001,0.1628,,878,0.1017
,477.3,0.0598,,544.6,6.5557,,667.3,0.0669,,707.3,0.093,,774.4001,0.172,,878.25,0.1092
,477.4,0.0622,,544.8,7.6867,,667.4,0.0695,,707.4,0.0974,,774.6001,0.1818,,878.5,0.1175
,477.5,0.0647,,545,9.0222,,667.5,0.0722,,707.5,0.1021,,774.8,0.1922,,878.75,0.1266
,477.6,0.0673,,545.2,10.5897,,667.6,0.075,,707.6,0.1071,,775.0001,0.2032,,879,0.1363
,477.7,0.0701,,545.4,12.4136,,667.7,0.078,,707.7,0.1122,,775.2001,0.2149,,879.25,0.1462
,477.8,0.073,,545.6,14.5117,,667.8,0.0811,,707.8,0.1176,,775.4001,0.2274,,879.5,0.156
,477.9,0.0761,,545.8,16.8912,,667.9,0.0844,,707.9,0.1233,,775.6,0.2407,,879.75,0.1651
,478,0.0794,,546,19.5449,,668,0.0879,,708,0.1292,,775.8,0.2549,,880,0.1732
,478.1,0.0828,,546.2,22.4487,,668.1,0.0915,,708.1,0.1354,,776.0001,0.2701,,880.25,0.1803
,478.2,0.0864,,546.4,25.56,,668.2,0.0952,,708.2,0.1419,,776.2001,0.2863,,880.5,0.1866
,478.3,0.0901,,546.6,28.8186,,668.3,0.0992,,708.3,0.1487,,776.4001,0.3035,,880.75,0.1931
,478.4,0.0941,,546.8,32.1492,,668.4,0.1033,,708.4,0.156,,776.6,0.3219,,881,0.2013
,478.5,0.0982,,547,35.4672,,668.5,0.1077,,708.5,0.1636,,776.8,0.3415,,881.25,0.2136
,478.6,0.1025,,547.2,38.6843,,668.6,0.1122,,708.6,0.1718,,777.0001,0.3623,,881.5,0.2327
,478.7,0.1071,,547.4,41.7167,,668.7,0.1169,,708.7,0.1805,,777.2001,0.3845,,881.75,0.2616
,478.8,0.1119,,547.6,44.4913,,668.8,0.1219,,708.8,0.1898,,777.4001,0.4083,,882,0.3032
,478.9,0.1169,,547.8,46.9516,,668.9,0.1271,,708.9,0.1997,,777.6,0.4336,,882.25,0.3597
,479,0.1221,,548,49.0615,,669,0.1326,,709,0.2104,,777.8,0.4607,,882.5,0.432
,479.1,0.1277,,548.2,50.8067,,669.1,0.1383,,709.1,0.2218,,778.0001,0.4896,,882.75,0.5196
,479.2,0.1335,,548.4,52.1936,,669.2,0.1444,,709.2,0.234,,778.2001,0.5207,,883,0.6204
,479.3,0.1396,,548.6,53.2464,,669.3,0.1508,,709.3,0.247,,778.4001,0.5539,,883.25,0.7307
,479.4,0.146,,548.8,54.003,,669.4,0.1576,,709.4,0.2609,,778.6,0.5895,,883.5,0.8459
,479.5,0.1527,,549,54.5094,,669.5,0.1649,,709.5,0.2758,,778.8,0.6277,,883.75,0.961
,479.6,0.1598,,549.2,54.815,,669.6,0.1725,,709.6,0.2915,,779.0001,0.6687,,884,1.0719
,479.7,0.1674,,549.4,54.9678,,669.7,0.1806,,709.7,0.3083,,779.2001,0.7127,,884.25,1.1761
,479.8,0.1753,,549.6,55.0109,,669.8,0.1891,,709.8,0.3262,,779.4001,0.7599,,884.5,1.2737
,479.9,0.1837,,549.8,54.9806,,669.9,0.198,,709.9,0.3452,,779.6,0.8107,,884.75,1.3674
,480,0.1926,,550,54.905,,670,0.2074,,710,0.3654,,779.8,0.8653,,885,1.463
,480.1,0.202,,550.2,54.8046,,670.1,0.2172,,710.1,0.387,,780.0001,0.9241,,885.25,1.5686
,480.2,0.212,,550.4,54.6931,,670.2,0.2275,,710.2,0.41,,780.2001,0.9874,,885.5,1.6935
,480.3,0.2226,,550.6,54.5788,,670.3,0.2384,,710.3,0.4346,,780.4001,1.0557,,885.75,1.8469
,480.4,0.2338,,550.8,54.4664,,670.4,0.2498,,710.4,0.461,,780.6,1.1292,,886,2.0368
,480.5,0.2458,,551,54.3577,,670.5,0.2618,,710.5,0.4893,,780.8,1.2086,,886.25,2.2689
,480.6,0.2585,,551.2,54.2533,,670.6,0.2745,,710.6,0.5198,,781.0001,1.2942,,886.5,2.5459
,480.7,0.272,,551.4,54.1526,,670.7,0.288,,710.7,0.5525,,781.2001,1.3866,,886.75,2.8681
,480.8,0.2864,,551.6,54.0545,,670.8,0.3023,,710.8,0.5877,,781.4001,1.4862,,887,3.234
,480.9,0.3017,,551.8,53.9576,,670.9,0.3174,,710.9,0.6257,,781.6,1.5938,,887.25,3.6416
,481,0.318,,552,53.8598,,671,0.3335,,711,0.6666,,781.8,1.7099,,887.5,4.0907
,481.1,0.3354,,552.2,53.7588,,671.1,0.3507,,711.1,0.7107,,782.0001,1.8353,,887.75,4.5847
,481.2,0.354,,552.4,53.6516,,671.2,0.3689,,711.2,0.7582,,782.2001,1.9708,,888,5.1317
,481.3,0.3738,,552.6,53.5343,,671.3,0.3883,,711.3,0.8095,,782.4001,2.1173,,888.25,5.7459
,481.4,0.3949,,552.8,53.401,,671.4,0.4089,,711.4,0.8648,,782.6,2.2759,,888.5,6.4476
,481.5,0.4174,,553,53.2434,,671.5,0.4309,,711.5,0.9246,,782.8,2.4476,,888.75,7.2617
,481.6,0.4415,,553.2,53.0494,,671.6,0.4543,,711.6,0.9891,,783.0001,2.6339,,889,8.2162
,481.7,0.4673,,553.4,52.8022,,671.7,0.4793,,711.7,1.059,,783.2001,2.8359,,889.25,9.3396
,481.8,0.4949,,553.6,52.48,,671.8,0.5059,,711.8,1.1346,,783.4001,3.0554,,889.5,10.6575
,481.9,0.5244,,553.8,52.0558,,671.9,0.5342,,711.9,1.2165,,783.6,3.2937,,889.75,12.1898
,482,0.556,,554,51.4981,,672,0.5644,,712,1.3052,,783.8,3.5528,,890,13.9481
,482.1,0.59,,554.2,50.7727,,672.1,0.5965,,712.1,1.4014,,784.0001,3.8345,,890.25,15.9332
,482.2,0.6264,,554.4,49.8451,,672.2,0.6307,,712.2,1.5058,,784.2001,4.1409,,890.5,18.1345
,482.3,0.6654,,554.6,48.6838,,672.3,0.6672,,712.3,1.6192,,784.4001,4.4741,,890.75,20.5294
,482.4,0.7074,,554.8,47.2637,,672.4,0.7062,,712.4,1.7425,,784.6,4.8365,,891,23.0845
,482.5,0.7526,,555,45.5696,,672.5,0.7479,,712.5,1.8768,,784.8,5.2306,,891.25,25.7572
,482.6,0.8012,,555.2,43.599,,672.6,0.7925,,712.6,2.0233,,785.0001,5.6589,,891.5,28.4982
,482.7,0.8536,,555.4,41.3644,,672.7,0.8403,,712.7,2.1834,,785.2001,6.1243,,891.75,31.2548
,482.8,0.91,,555.6,38.8934,,672.8,0.8916,,712.8,2.3585,,785.4001,6.6295,,892,33.9738
,482.9,0.9708,,555.8,36.2279,,672.9,0.9467,,712.9,2.5504,,785.6,7.1774,,892.25,36.6046
,483,1.0365,,556,33.4215,,673,1.006,,713,2.7608,,785.8,7.771,,892.5,39.1025
,483.1,1.1075,,556.2,30.5359,,673.1,1.0696,,713.1,2.9917,,786.0001,8.4133,,892.75,41.4304
,483.2,1.1842,,556.4,27.6356,,673.2,1.138,,713.2,3.2451,,786.2001,9.1072,,893,43.5608
,483.3,1.2672,,556.6,24.7836,,673.3,1.2114,,713.3,3.5233,,786.4001,9.8554,,893.25,45.4762
,483.4,1.357,,556.8,22.0372,,673.4,1.2904,,713.4,3.8286,,786.6,10.6607,,893.5,47.1693
